Metric,Week 1,Week 4,Week 8,Week 12,Target,ASSUMPTION
WhatsApp Business Users,50,200,500,1000,1000+,"Each Seller creates 1-2 new leads"
WhatsApp Group Members,20,150,350,700,700+,"Daily training & motivation"
Bot Interactions,100,500,2000,5000,5000+,"Automated onboarding & ordering"
Order Placement via WhatsApp,70%,80%,85%,90%,90%+,"Primary ordering channel"
Payment Link Conversion,60%,70%,75%,80%,80%+,"Reduced friction"
Agent Onboarding Completion,75%,80%,82%,85%,85%+,"Clear flow reduces drop-off"
Daily Active Users (Sellers),10,110,350,680,680+,"70% of active sellers use daily"
WhatsApp Status Views/Content,50,300,800,1500,1500+,"Product, profit stories, training"
Avg Response Time (Bot),5 sec,3 sec,2 sec,1 sec,<2 sec,"AI + canned responses"
Support Tickets via WhatsApp,20,50,80,100,100,"Reduce by 50% through FAQ bot"
